"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
0,0,0,0,1000,0,11,0,0,0
1,0,0,0,1000,0,11,0,0,0.01
2,0,0,0,1000,0,11,0,0,0.02
3,0,0,0,1000,0,11,0,0,0.03
4,0,0,0,1000,0,11,0,0,0.04
5,0,0,0,1000,0,11,0,0,0.05
6,0,0,0,1000,0,11,0,0,0.06
7,0,0,0,1000,0,11,0,0,0.07
8,0,0,0,1000,0,11,0,0,0.08
9,0,0,0,1000,0,11,0,0,0.09
10,0,0,0,1000,0,11,0,0,0.1
11,0,0,0,1000,0,11,0,0,0.11
12,0,0,0,1000,0,11,0,0,0.12
13,0,0,0,1000,0,11,0,0,0.13
14,0,0,0,1000,0,11,0,0,0.14
15,0,0,0,1000,0,11,0,0,0.15
16,0,0,0,1000,0,11,0,0,0.16
17,0,0,0,1000,0,11,0,0,0.17
18,0,0,0,1000,0,11,0,0,0.18
19,0,0,0,1000,0,11,0,0,0.19
20,0,0,0,1000,0,11,0,0,0.2
21,0,0,0,1000,0,11,0,0,0.21
22,0,0,0,1000,0,11,0,0,0.22
23,0,0,0,1000,0,11,0,0,0.23
24,0,0,0,1000,0,11,0,0,0.24
25,0,0,0,1000,0,11,0,0,0.25
26,0,0,0,1000,0,11,0,0,0.26
27,0,0,0,1000,0,11,0,0,0.27
28,0,0,0,1000,0,11,0,0,0.28
29,0,0,0,1000,0,11,0,0,0.29
30,0,0,0,1000,0,11,0,0,0.3
31,0,0,0,1000,0,11,0,0,0.31
32,0,0,0,1000,0,11,0,0,0.32
33,0,0,0,1000,0,11,0,0,0.33
34,0,0,0,1000,0,11,0,0,0.34
35,0,0,0,1000,0,11,0,0,0.35
36,0,0,0,1000,0,11,0,0,0.36
37,0,0,0,1000,0,11,0,0,0.37
38,0,0,0,1000,0,11,0,0,0.38
39,0,0,0,1000,0,11,0,0,0.39
40,0,0,0,1000,0,11,0,0,0.4
41,0,0,0,1000,0,11,0,0,0.41
42,0,0,0,1000,0,11,0,0,0.42
43,0,0,0,1000,0,11,0,0,0.43
44,0,0,0,1000,0,11,0,0,0.44
45,0,0,0,1000,0,11,0,0,0.45
46,0,0,0,1000,0,11,0,0,0.46
47,0,0,0,1000,0,11,0,0,0.47
48,0,0,0,1000,0,11,0,0,0.48
49,0,0,0,1000,0,11,0,0,0.49
50,0,0,0,1000,0,11,0,0,0.5
51,0,0,0,1000,0,11,0,0,0.51
52,0,0,0,1000,0,11,0,0,0.52
53,0,0,0,1000,0,11,0,0,0.53
54,0,0,0,1000,0,11,0,0,0.54
55,0,0,0,1000,0,11,0,0,0.55
56,0,0,0,1000,0,11,0,0,0.56
57,0,0,0,1000,0,11,0,0,0.57
58,0,0,0,1000,0,11,0,0,0.58
59,0,0,0,1000,0,11,0,0,0.59
60,0,0,0,1000,0,11,0,0,0.6
61,0,0,0,1000,0,11,0,0,0.61
62,0,0,0,1000,0,11,0,0,0.62
63,0,0,0,1000,0,11,0,0,0.63
64,0,0,0,1000,0,11,0,0,0.64
65,0,0,0,1000,0,11,0,0,0.65
66,0,0,0,1000,0,11,0,0,0.66
67,0,0,0,1000,0,11,0,0,0.67
68,0,0,0,1000,0,11,0,0,0.68
69,0,0,0,1000,0,11,0,0,0.69
70,0,0,0,1000,0,11,0,0,0.7
71,0,0,0,1000,0,11,0,0,0.71
72,0,0,0,1000,0,11,0,0,0.72
73,0,0,0,1000,0,11,0,0,0.73
74,0,0,0,1000,0,11,0,0,0.74
75,0,0,0,1000,0,11,0,0,0.75
76,0,0,0,1000,0,11,0,0,0.76
77,0,0,0,1000,0,11,0,0,0.77
78,0,0,0,1000,0,11,0,0,0.78
79,0,0,0,1000,0,11,0,0,0.79
80,0,0,0,1000,0,11,0,0,0.8
81,0,0,0,1000,0,11,0,0,0.81
82,0,0,0,1000,0,11,0,0,0.82
83,0,0,0,1000,0,11,0,0,0.83
84,0,0,0,1000,0,11,0,0,0.84
85,0,0,0,1000,0,11,0,0,0.85
86,0,0,0,1000,0,11,0,0,0.86
87,0,0,0,1000,0,11,0,0,0.87
88,0,0,0,1000,0,11,0,0,0.88
89,0,0,0,1000,0,11,0,0,0.89
90,0,0,0,1000,0,11,0,0,0.9
91,0,0,0,1000,0,11,0,0,0.91
92,0,0,0,1000,0,11,0,0,0.92
93,0,0,0,1000,0,11,0,0,0.93
94,0,0,0,1000,0,11,0,0,0.94
95,0,0,0,1000,0,11,0,0,0.95
96,0,0,0,1000,0,11,0,0,0.96
97,0,0,0,1000,0,11,0,0,0.97
98,0,0,0,1000,0,11,0,0,0.98
99,0,0,0,1000,0,11,0,0,0.99
100,0,0,0,1000,0,11,0,0,1
101,0,0,0,1000,0,11,0,0,1.01
102,0,0,0,1000,0,11,0,0,1.02
103,0,0,0,1000,0,11,0,0,1.03
104,0,0,0,1000,0,11,0,0,1.04
105,0,0,0,1000,0,11,0,0,1.05
106,0,0,0,1000,0,11,0,0,1.06
107,0,0,0,1000,0,11,0,0,1.07
108,0,0,0,1000,0,11,0,0,1.08
109,0,0,0,1000,0,11,0,0,1.09
110,0,0,0,1000,0,11,0,0,1.1
111,0,0,0,1000,0,11,0,0,1.11
112,0,0,0,1000,0,11,0,0,1.12
113,0,0,0,1000,0,11,0,0,1.13
114,0,0,0,1000,0,11,0,0,1.14
115,0,0,0,1000,0,11,0,0,1.15
116,0,0,0,1000,0,11,0,0,1.16
117,0,0,0,1000,0,11,0,0,1.17
118,0,0,0,1000,0,11,0,0,1.18
119,0,0,0,1000,0,11,0,0,1.19
120,0,0,0,1000,0,11,0,0,1.2
121,0,0,0,1000,0,11,0,0,1.21
122,0,0,0,1000,0,11,0,0,1.22
123,0,0,0,1000,0,11,0,0,1.23
124,0,0,0,1000,0,11,0,0,1.24
125,0,0,0,1000,0,11,0,0,1.25
126,0,0,0,1000,0,11,0,0,1.26
127,0,0,0,1000,0,11,0,0,1.27
128,0,0,0,1000,0,11,0,0,1.28
129,0,0,0,1000,0,11,0,0,1.29
130,0,0,0,1000,0,11,0,0,1.3
131,0,0,0,1000,0,11,0,0,1.31
132,0,0,0,1000,0,11,0,0,1.32
133,0,0,0,1000,0,11,0,0,1.33
134,0,0,0,1000,0,11,0,0,1.34
135,0,0,0,1000,0,11,0,0,1.35
136,0,0,0,1000,0,11,0,0,1.36
137,0,0,0,1000,0,11,0,0,1.37
138,0,0,0,1000,0,11,0,0,1.38
139,0,0,0,1000,0,11,0,0,1.39
140,0,0,0,1000,0,11,0,0,1.4
141,0,0,0,1000,0,11,0,0,1.41
142,0,0,0,1000,0,11,0,0,1.42
143,0,0,0,1000,0,11,0,0,1.43
144,0,0,0,1000,0,11,0,0,1.44
145,0,0,0,1000,0,11,0,0,1.45
146,0,0,0,1000,0,11,0,0,1.46
147,0,0,0,1000,0,11,0,0,1.47
148,0,0,0,1000,0,11,0,0,1.48
