Idp,Vel:0,Vel:1,Vel:2,Rhop,Type,Mk,Points:0,Points:1,Points:2
0,0,0,0,1000,0,11,-0.5,0,0
1,0,0,0,1000,0,11,-0.5,0,0.0025
2,0,0,0,1000,0,11,-0.5,0,0.005
3,0,0,0,1000,0,11,-0.5,0,0.0075
4,0,0,0,1000,0,11,-0.5,0,0.01
5,0,0,0,1000,0,11,-0.5,0,0.0125
6,0,0,0,1000,0,11,-0.5,0,0.015
7,0,0,0,1000,0,11,-0.5,0,0.0175
8,0,0,0,1000,0,11,-0.5,0,0.02
9,0,0,0,1000,0,11,-0.5,0,0.0225
10,0,0,0,1000,0,11,-0.5,0,0.025
11,0,0,0,1000,0,11,-0.5,0,0.0275
12,0,0,0,1000,0,11,-0.5,0,0.03
13,0,0,0,1000,0,11,-0.5,0,0.0325
14,0,0,0,1000,0,11,-0.5,0,0.035
15,0,0,0,1000,0,11,-0.5,0,0.0375
16,0,0,0,1000,0,11,-0.5,0,0.04
17,0,0,0,1000,0,11,-0.5,0,0.0425
18,0,0,0,1000,0,11,-0.5,0,0.045
19,0,0,0,1000,0,11,-0.5,0,0.0475
20,0,0,0,1000,0,11,-0.5,0,0.05
21,0,0,0,1000,0,11,-0.5,0,0.0525
22,0,0,0,1000,0,11,-0.5,0,0.055
23,0,0,0,1000,0,11,-0.5,0,0.0575
24,0,0,0,1000,0,11,-0.5,0,0.06
25,0,0,0,1000,0,11,-0.5,0,0.0625
26,0,0,0,1000,0,11,-0.5,0,0.065
27,0,0,0,1000,0,11,-0.5,0,0.0675
28,0,0,0,1000,0,11,-0.5,0,0.07
29,0,0,0,1000,0,11,-0.5,0,0.0725
30,0,0,0,1000,0,11,-0.5,0,0.075
31,0,0,0,1000,0,11,-0.5,0,0.0775
32,0,0,0,1000,0,11,-0.5,0,0.08
33,0,0,0,1000,0,11,-0.5,0,0.0825
34,0,0,0,1000,0,11,-0.5,0,0.085
35,0,0,0,1000,0,11,-0.5,0,0.0875
36,0,0,0,1000,0,11,-0.5,0,0.09
37,0,0,0,1000,0,11,-0.5,0,0.0925
38,0,0,0,1000,0,11,-0.5,0,0.095
39,0,0,0,1000,0,11,-0.5,0,0.0975
40,0,0,0,1000,0,11,-0.5,0,0.1
41,0,0,0,1000,0,11,-0.5,0,0.1025
42,0,0,0,1000,0,11,-0.5,0,0.105
43,0,0,0,1000,0,11,-0.5,0,0.1075
44,0,0,0,1000,0,11,-0.5,0,0.11
45,0,0,0,1000,0,11,-0.5,0,0.1125
46,0,0,0,1000,0,11,-0.5,0,0.115
47,0,0,0,1000,0,11,-0.5,0,0.1175
48,0,0,0,1000,0,11,-0.5,0,0.12
49,0,0,0,1000,0,11,-0.5,0,0.1225
50,0,0,0,1000,0,11,-0.5,0,0.125
51,0,0,0,1000,0,11,-0.5,0,0.1275
52,0,0,0,1000,0,11,-0.5,0,0.13
53,0,0,0,1000,0,11,-0.5,0,0.1325
54,0,0,0,1000,0,11,-0.5,0,0.135
55,0,0,0,1000,0,11,-0.5,0,0.1375
56,0,0,0,1000,0,11,-0.5,0,0.14
57,0,0,0,1000,0,11,-0.5,0,0.1425
58,0,0,0,1000,0,11,-0.5,0,0.145
59,0,0,0,1000,0,11,-0.5,0,0.1475
60,0,0,0,1000,0,11,-0.5,0,0.15
61,0,0,0,1000,0,11,-0.5,0,0.1525
62,0,0,0,1000,0,11,-0.5,0,0.155
63,0,0,0,1000,0,11,-0.5,0,0.1575
64,0,0,0,1000,0,11,-0.5,0,0.16
65,0,0,0,1000,0,11,-0.5,0,0.1625
66,0,0,0,1000,0,11,-0.5,0,0.165
67,0,0,0,1000,0,11,-0.5,0,0.1675
68,0,0,0,1000,0,11,-0.5,0,0.17
69,0,0,0,1000,0,11,-0.5,0,0.1725
70,0,0,0,1000,0,11,-0.5,0,0.175
71,0,0,0,1000,0,11,-0.5,0,0.1775
72,0,0,0,1000,0,11,-0.5,0,0.18
73,0,0,0,1000,0,11,-0.5,0,0.1825
74,0,0,0,1000,0,11,-0.5,0,0.185
75,0,0,0,1000,0,11,-0.5,0,0.1875
76,0,0,0,1000,0,11,-0.5,0,0.19
77,0,0,0,1000,0,11,-0.5,0,0.1925
78,0,0,0,1000,0,11,-0.5,0,0.195
79,0,0,0,1000,0,11,-0.5,0,0.1975
80,0,0,0,1000,0,11,-0.5,0,0.2
81,0,0,0,1000,0,11,-0.5,0,0.2025
82,0,0,0,1000,0,11,-0.5,0,0.205
83,0,0,0,1000,0,11,-0.5,0,0.2075
84,0,0,0,1000,0,11,-0.5,0,0.21
85,0,0,0,1000,0,11,-0.5,0,0.2125
86,0,0,0,1000,0,11,-0.5,0,0.215
87,0,0,0,1000,0,11,-0.5,0,0.2175
88,0,0,0,1000,0,11,-0.5,0,0.22
89,0,0,0,1000,0,11,-0.5,0,0.2225
90,0,0,0,1000,0,11,-0.5,0,0.225
91,0,0,0,1000,0,11,-0.5,0,0.2275
92,0,0,0,1000,0,11,-0.5,0,0.23
93,0,0,0,1000,0,11,-0.5,0,0.2325
94,0,0,0,1000,0,11,-0.5,0,0.235
95,0,0,0,1000,0,11,-0.5,0,0.2375
96,0,0,0,1000,0,11,-0.5,0,0.24
97,0,0,0,1000,0,11,-0.5,0,0.2425
98,0,0,0,1000,0,11,-0.5,0,0.245
99,0,0,0,1000,0,11,-0.5,0,0.2475
100,0,0,0,1000,0,11,-0.5,0,0.25
101,0,0,0,1000,0,11,-0.5,0,0.2525
102,0,0,0,1000,0,11,-0.5,0,0.255
103,0,0,0,1000,0,11,-0.5,0,0.2575
104,0,0,0,1000,0,11,-0.5,0,0.26
105,0,0,0,1000,0,11,-0.5,0,0.2625
106,0,0,0,1000,0,11,-0.5,0,0.265
107,0,0,0,1000,0,11,-0.5,0,0.2675
108,0,0,0,1000,0,11,-0.5,0,0.27
109,0,0,0,1000,0,11,-0.5,0,0.2725
110,0,0,0,1000,0,11,-0.5,0,0.275
111,0,0,0,1000,0,11,-0.5,0,0.2775
112,0,0,0,1000,0,11,-0.5,0,0.28
113,0,0,0,1000,0,11,-0.5,0,0.2825
114,0,0,0,1000,0,11,-0.5,0,0.285
115,0,0,0,1000,0,11,-0.5,0,0.2875
116,0,0,0,1000,0,11,-0.5,0,0.29
117,0,0,0,1000,0,11,-0.5,0,0.2925
118,0,0,0,1000,0,11,-0.5,0,0.295
119,0,0,0,1000,0,11,-0.5,0,0.2975
120,0,0,0,1000,0,11,-0.5,0,0.3
121,0,0,0,1000,0,11,-0.5,0,0.3025
122,0,0,0,1000,0,11,-0.5,0,0.305
123,0,0,0,1000,0,11,-0.5,0,0.3075
124,0,0,0,1000,0,11,-0.5,0,0.31
125,0,0,0,1000,0,11,-0.5,0,0.3125
126,0,0,0,1000,0,11,-0.5,0,0.315
127,0,0,0,1000,0,11,-0.5,0,0.3175
128,0,0,0,1000,0,11,-0.5,0,0.32
129,0,0,0,1000,0,11,-0.5,0,0.3225
130,0,0,0,1000,0,11,-0.5,0,0.325
131,0,0,0,1000,0,11,-0.5,0,0.3275
132,0,0,0,1000,0,11,-0.5,0,0.33
133,0,0,0,1000,0,11,-0.5,0,0.3325
134,0,0,0,1000,0,11,-0.5,0,0.335
135,0,0,0,1000,0,11,-0.5,0,0.3375
136,0,0,0,1000,0,11,-0.5,0,0.34
137,0,0,0,1000,0,11,-0.5,0,0.3425
138,0,0,0,1000,0,11,-0.5,0,0.345
139,0,0,0,1000,0,11,-0.5,0,0.3475
140,0,0,0,1000,0,11,-0.5,0,0.35
141,0,0,0,1000,0,11,-0.5,0,0.3525
142,0,0,0,1000,0,11,-0.5,0,0.355
143,0,0,0,1000,0,11,-0.5,0,0.3575
144,0,0,0,1000,0,11,-0.5,0,0.36
145,0,0,0,1000,0,11,-0.5,0,0.3625
146,0,0,0,1000,0,11,-0.5,0,0.365
147,0,0,0,1000,0,11,-0.5,0,0.3675
148,0,0,0,1000,0,11,-0.5,0,0.37
149,0,0,0,1000,0,11,-0.5,0,0.3725
150,0,0,0,1000,0,11,-0.5,0,0.375
151,0,0,0,1000,0,11,-0.5,0,0.3775
152,0,0,0,1000,0,11,-0.5,0,0.38
153,0,0,0,1000,0,11,-0.5,0,0.3825
154,0,0,0,1000,0,11,-0.5,0,0.385
155,0,0,0,1000,0,11,-0.5,0,0.3875
156,0,0,0,1000,0,11,-0.5,0,0.39
157,0,0,0,1000,0,11,-0.5,0,0.3925
158,0,0,0,1000,0,11,-0.5,0,0.395
159,0,0,0,1000,0,11,-0.5,0,0.3975
160,0,0,0,1000,0,11,-0.5,0,0.4
161,0,0,0,1000,0,11,-0.5,0,0.4025
162,0,0,0,1000,0,11,-0.5,0,0.405
163,0,0,0,1000,0,11,-0.5,0,0.4075
164,0,0,0,1000,0,11,-0.5,0,0.41
165,0,0,0,1000,0,11,-0.5,0,0.4125
166,0,0,0,1000,0,11,-0.5,0,0.415
167,0,0,0,1000,0,11,-0.5,0,0.4175
168,0,0,0,1000,0,11,-0.5,0,0.42
169,0,0,0,1000,0,11,-0.5,0,0.4225
170,0,0,0,1000,0,11,-0.5,0,0.425
171,0,0,0,1000,0,11,-0.5,0,0.4275
172,0,0,0,1000,0,11,-0.5,0,0.43
173,0,0,0,1000,0,11,-0.5,0,0.4325
174,0,0,0,1000,0,11,-0.5,0,0.435
175,0,0,0,1000,0,11,-0.5,0,0.4375
176,0,0,0,1000,0,11,-0.5,0,0.44
177,0,0,0,1000,0,11,-0.5,0,0.4425
178,0,0,0,1000,0,11,-0.5,0,0.445
179,0,0,0,1000,0,11,-0.5,0,0.4475
180,0,0,0,1000,0,11,-0.5,0,0.45
181,0,0,0,1000,0,11,-0.5,0,0.4525
182,0,0,0,1000,0,11,-0.5,0,0.455
183,0,0,0,1000,0,11,-0.5,0,0.4575
184,0,0,0,1000,0,11,-0.5,0,0.46
185,0,0,0,1000,0,11,-0.5,0,0.4625
186,0,0,0,1000,0,11,-0.5,0,0.465
187,0,0,0,1000,0,11,-0.5,0,0.4675
188,0,0,0,1000,0,11,-0.5,0,0.47
189,0,0,0,1000,0,11,-0.5,0,0.4725
190,0,0,0,1000,0,11,-0.5,0,0.475
191,0,0,0,1000,0,11,-0.5,0,0.4775
192,0,0,0,1000,0,11,-0.5,0,0.48
193,0,0,0,1000,0,11,-0.5,0,0.4825
194,0,0,0,1000,0,11,-0.5,0,0.485
195,0,0,0,1000,0,11,-0.5,0,0.4875
196,0,0,0,1000,0,11,-0.5,0,0.49
197,0,0,0,1000,0,11,-0.5,0,0.4925
198,0,0,0,1000,0,11,-0.5,0,0.495
199,0,0,0,1000,0,11,-0.5,0,0.4975
200,0,0,0,1000,0,11,-0.5,0,0.5
201,0,0,0,1000,0,11,-0.5,0,0.5025
202,0,0,0,1000,0,11,-0.5,0,0.505
203,0,0,0,1000,0,11,-0.5,0,0.5075
204,0,0,0,1000,0,11,-0.5,0,0.51
205,0,0,0,1000,0,11,-0.5,0,0.5125
206,0,0,0,1000,0,11,-0.5,0,0.515
207,0,0,0,1000,0,11,-0.5,0,0.5175
208,0,0,0,1000,0,11,-0.5,0,0.52
209,0,0,0,1000,0,11,-0.5,0,0.5225
210,0,0,0,1000,0,11,-0.5,0,0.525
211,0,0,0,1000,0,11,-0.5,0,0.5275
212,0,0,0,1000,0,11,-0.5,0,0.53
213,0,0,0,1000,0,11,-0.5,0,0.5325
214,0,0,0,1000,0,11,-0.5,0,0.535
215,0,0,0,1000,0,11,-0.5,0,0.5375
216,0,0,0,1000,0,11,-0.5,0,0.54
217,0,0,0,1000,0,11,-0.5,0,0.5425
218,0,0,0,1000,0,11,-0.5,0,0.545
219,0,0,0,1000,0,11,-0.5,0,0.5475
220,0,0,0,1000,0,11,-0.5,0,0.55
221,0,0,0,1000,0,11,-0.5,0,0.5525
222,0,0,0,1000,0,11,-0.5,0,0.555
223,0,0,0,1000,0,11,-0.5,0,0.5575
224,0,0,0,1000,0,11,-0.5,0,0.56
225,0,0,0,1000,0,11,-0.5,0,0.5625
226,0,0,0,1000,0,11,-0.5,0,0.565
227,0,0,0,1000,0,11,-0.5,0,0.5675
228,0,0,0,1000,0,11,-0.5,0,0.57
229,0,0,0,1000,0,11,-0.5,0,0.5725
230,0,0,0,1000,0,11,-0.5,0,0.575
231,0,0,0,1000,0,11,-0.5,0,0.5775
232,0,0,0,1000,0,11,-0.5,0,0.58
233,0,0,0,1000,0,11,-0.5,0,0.5825
234,0,0,0,1000,0,11,-0.5,0,0.585
235,0,0,0,1000,0,11,-0.5,0,0.5875
236,0,0,0,1000,0,11,-0.5,0,0.59
237,0,0,0,1000,0,11,-0.5,0,0.5925
238,0,0,0,1000,0,11,-0.5,0,0.595
239,0,0,0,1000,0,11,-0.5,0,0.5975
240,0,0,0,1000,0,11,-0.5,0,0.6
241,0,0,0,1000,0,11,-0.5,0,0.6025
242,0,0,0,1000,0,11,-0.5,0,0.605
243,0,0,0,1000,0,11,-0.5,0,0.6075
244,0,0,0,1000,0,11,-0.5,0,0.61
245,0,0,0,1000,0,11,-0.5,0,0.6125
246,0,0,0,1000,0,11,-0.5,0,0.615
247,0,0,0,1000,0,11,-0.5,0,0.6175
248,0,0,0,1000,0,11,-0.5,0,0.62
249,0,0,0,1000,0,11,-0.5,0,0.6225
250,0,0,0,1000,0,11,-0.5,0,0.625
251,0,0,0,1000,0,11,-0.5,0,0.6275
252,0,0,0,1000,0,11,-0.5,0,0.63
253,0,0,0,1000,0,11,-0.5,0,0.6325
254,0,0,0,1000,0,11,-0.5,0,0.635
255,0,0,0,1000,0,11,-0.5,0,0.6375
256,0,0,0,1000,0,11,-0.5,0,0.64
257,0,0,0,1000,0,11,-0.5,0,0.6425
258,0,0,0,1000,0,11,-0.5,0,0.645
259,0,0,0,1000,0,11,-0.5,0,0.6475
260,0,0,0,1000,0,11,-0.5,0,0.65
261,0,0,0,1000,0,11,-0.5,0,0.6525
262,0,0,0,1000,0,11,-0.5,0,0.655
263,0,0,0,1000,0,11,-0.5,0,0.6575
264,0,0,0,1000,0,11,-0.5,0,0.66
265,0,0,0,1000,0,11,-0.5,0,0.6625
266,0,0,0,1000,0,11,-0.5,0,0.665
267,0,0,0,1000,0,11,-0.5,0,0.6675
268,0,0,0,1000,0,11,-0.5,0,0.67
269,0,0,0,1000,0,11,-0.5,0,0.6725
270,0,0,0,1000,0,11,-0.5,0,0.675
271,0,0,0,1000,0,11,-0.5,0,0.6775
272,0,0,0,1000,0,11,-0.5,0,0.68
273,0,0,0,1000,0,11,-0.5,0,0.6825
274,0,0,0,1000,0,11,-0.5,0,0.685
275,0,0,0,1000,0,11,-0.5,0,0.6875
276,0,0,0,1000,0,11,-0.5,0,0.69
277,0,0,0,1000,0,11,-0.5,0,0.6925
278,0,0,0,1000,0,11,-0.5,0,0.695
279,0,0,0,1000,0,11,-0.5,0,0.6975
280,0,0,0,1000,0,11,-0.5,0,0.7
281,0,0,0,1000,0,11,-0.5,0,0.7025
282,0,0,0,1000,0,11,-0.5,0,0.705
283,0,0,0,1000,0,11,-0.5,0,0.7075
284,0,0,0,1000,0,11,-0.5,0,0.71
285,0,0,0,1000,0,11,-0.5,0,0.7125
286,0,0,0,1000,0,11,-0.5,0,0.715
287,0,0,0,1000,0,11,-0.5,0,0.7175
288,0,0,0,1000,0,11,-0.5,0,0.72
289,0,0,0,1000,0,11,-0.5,0,0.7225
290,0,0,0,1000,0,11,-0.5,0,0.725
291,0,0,0,1000,0,11,-0.5,0,0.7275
292,0,0,0,1000,0,11,-0.5,0,0.73
293,0,0,0,1000,0,11,-0.5,0,0.7325
